ObjectID,DisplayX,DisplayY,Address,City,Region,Postal,ID,EventDate,Address2,Primary NAICS,Hospitalized,Amputation,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,Industry SubSector
11,-74.203796,40.721868,#9 Hedden Terrace,NEWARK,NEW JERSEY,7102,2015021089,2015-02-03,,221121,1,0,1026907,"At approximately 8 PM, 2/3/2015, a worker was struck by a hand-hole cover, sustaining unspecified injuries to the head/face.  He was part of an Underground Trouble team assigned to investigate a manhole explosion/no power condition. The initial report is that he was in the process of tapping the cover with a hammer to loosen it when the cover was blown up into his head/face.",1972,"Soreness, pain, hurt-nonspecified injury",10,"Head, unspecified",6241,"Struck by dislodged flying object, particle",4912,Manhole and cistern covers,,,Electric Bulk Power Transmission and Control
12,-74.361635,41.117652,1 Richmond Road,WEST MILFORD,NEW JERSEY,7480,2015064096,2015-06-25,,221310,1,0,,An employee was hospitalized for an infection to the forearm as a result of receiving a laceration while handling a davit crank handle.,132,"Cuts, lacerations",423,Forearm(s),60,"Contact with objects and equipment, unspecified",4429,"Machine and appliance parts, n.e.c.",,,Water Supply and Irrigation Systems
13,-74.038259,40.901556,69 Devoe Place,HACKENSACK,NEW JERSEY,7601,2015031132,2015-03-11,,221310,1,0,,An employee injured a leg while climbing a vault's fixed ladder.,1972,"Soreness, pain, hurt-nonspecified injury",510,"Leg(s), unspecified",9999,Nonclassifiable,741,Ladders-fixed,,,Water Supply and Irrigation Systems
14,-74.018292,40.835561,VICTORIA TERRACE,RIDGEFIELD,NEW JERSEY,7657,2016077035,2016-07-31,,221112,1,0,,"While resetting the pressure switch on an HVAC unit, an employee lacerated their finger.",132,"Cuts, lacerations",4420,"Finger(s), fingernail(s), unspecified",60,"Contact with objects and equipment, unspecified",330,"Heating, cooling, and cleaning machinery and appliances, unspecified",,,Fossil Fuel Electric Power Generation
15,-74.392261,40.25804,436 State Route 33,MANALAPAN,NEW JERSEY,7726,2016010470,2016-01-18,,221122,1,0,,"An employee was installing a utility pole using an auger. The auger jammed and when the employee released the jam, the auger struck the employee in the right leg breaking the tibia and fibula and dislocating the right ankle.",1834,Fractures and dislocations,5839,"Ankle(s) and leg(s), n.e.c.",6241,"Struck by dislodged flying object, particle",3241,"Drilling machines, drilling augers",,,Electric Power Distribution
16,-74.670161,40.08442,2 Birmingham Drive,COLUMBUS,NEW JERSEY,8022,2015129048,2015-12-01,,221114,1,0,,An employee fell from an A-frame ladder onto his back and experienced extreme pain.,1972,"Soreness, pain, hurt-nonspecified injury",320,"Back, including spine, spinal cord, unspecified",4330,"Other fall to lower level, unspecified",7422,Step ladders,,,Solar Electric Power Generation
17,-75.29272,39.823716,611 Democrate Road,GIBBSTOWN,NEW JERSEY,8027,2015097251,2015-09-30,,221114,1,0,,An employee was hooking his lanyard to his harness while standing on a ladder.  His foot slipped and he fell 20 feet. His left ankle was shattered.,111,Fractures,52,Ankle(s),4334,Other fall to lower level 16 to 20 feet,740,"Ladders, unspecified",,,Solar Electric Power Generation
18,-74.712114,40.21995,604 Leuckel Ave,HAMILTON,NEW JERSEY,8609,2015074240,2015-07-01,,221122,1,0,,An employee was stung by a bee and had an allergic reaction.,1966,Other or unspecified allergic reactions ,6,BODY SYSTEMS,1311,Stings and venomous bites,5131,"Bees, hornets, wasps ",,,Electric Power Distribution
19,-74.832251,40.26909,721 Bear Tavern Road,EWING,NEW JERSEY,8628,2015040131,2015-04-24,,221111,1,0,,"A small crew was trimming trees. An employee in the bucket truck was moving a rope when the boom hit the ground and the truck tilted over at a 45-degree angle, causing the employee to sustain a fractured ankle and ribs.",111,Fractures,899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",8422,"Boom truck, bucket or basket hoist truck",,,Hydroelectric Power Generation
20,-74.180861,39.89558,395 Hayes Avenue,BAYVILLE,NEW JERSEY,8721,2016065683,2016-06-24,,221114,1,0,,An employee fell off the roof while installing solar panels and suffered a broken leg.,111,Fractures,510,"Leg(s), unspecified",4330,"Other fall to lower level, unspecified",6540,"Roofs, unspecified",,,Solar Electric Power Generation
21,-74.345231,40.45653,41 Creamer Drive,SAYREVILLE,NEW JERSEY,8872,2016021387,2016-02-15,,221114,1,0,,An employee fell off a ladder.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",,,Solar Electric Power Generation
22,-73.988521,40.73403,4 IRVING PLACE,NEW YORK,NEW YORK,10003,2015063989,2015-06-23,,221119,1,0,,Two employees were assaulted by a fellow employee.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,1113,"Hitting, kicking, beating, shoving",5720,"Co-worker or work associate of injured or ill worker, unspecified",,,Other Electric Power Generation
23,-73.676942,41.030878,194 Ivy Hill Crescent,RYE BROOK,NEW YORK,10573,2016031893,2016-03-02,,221119,1,0,,"An employee was working on an underground residential distribution junction box, attempting to ground a live elbow in a box, when an arc flash occurred. He received electrical flash burns to both legs.",1530,"Electrical burns, unspecified",510,"Leg(s), unspecified",5110,"Direct exposure to electricity, unspecified",4417,"Switchboards, switches, fuses",,,Other Electric Power Generation
24,-73.993831,40.69609,152 Henry Street,BROOKLYN,NEW YORK,11201,2015010298,2015-01-08,,221122,0,1,,Employee severed finger when an industrial metal door closed on his pinky finger.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6261,Struck by or caught in swinging door or gate,6511,"Doors, except garage and vehicle",,,Electric Power Distribution
25,-73.993671,40.575698,2735 Mermaid Ave,BROOKLYN,NEW YORK,11236,2016032310,2016-03-16,,221119,1,1,,"An employee was threading pipe on a threading machine when his glove was caught in the machine, amputating his right pinky finger.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6412,Caught in running equipment or machinery during regular operation,358,Threading and tapping machines,9111,"Belts, gloves, neckties, scarves",Other Electric Power Generation
26,-73.843956,40.784602,28 124th Street,FLUSHING,NEW YORK,11356,2015050158,2015-05-10,,221210,0,1,,"An employee was attempting to set an extension ladder on a house when it started to fall. He was unable to catch the ladder, and his right pinky finger got caught in a pinch point.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,7421,Extension ladders,,,Natural Gas Distribution
27,-73.760483,40.683798,127-11 Farmers Blvd,SPRINGFIELD GARDENS,NEW YORK,11413,2015031029,2015-03-06,,221210,1,0,,"An employee slipped on ice in the facility's parking lot, injuring the back of his head.",160,"Intracranial injuries, unspecified",111,Brain,422,Fall on same level due to slipping ,6660,"Parking lot, unspecified",9273,"Ice, sleet, snow",Natural Gas Distribution
28,-73.219138,40.784247,1650 Islip Avenue,BRENTWOOD,NEW YORK,11717,2015010864,2015-01-27,,221122,1,0,,Employee slipped on ice and broke the left leg.,111,Fractures,510,"Leg(s), unspecified",422,Fall on same level due to slipping ,660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",Electric Power Distribution
29,-73.520845,40.725279,670 Seaman's Neck Road,LEVITTOWN,NEW YORK,11756,2015129739,2015-12-26,,221310,1,0,,An employee fell approximately three feet from a step ladder that was in the closed position and leaning against the water tank and struck a containment basin. The employee sustained broken ribs and was hospitalized.,111,Fractures,310,"Chest, except internal location of diseases or disorders",4331,Other fall to lower level less than 6 feet,7422,Step ladders,,,Water Supply and Irrigation Systems
30,-72.996691,40.76659,488 E. Main St.,PATCHOGUE,NEW YORK,11772,2015086066,2015-08-24,,221121,1,0,,An employee was walking around a vehicle and banged an elbow on it. The employee was hospitalized for a contusion and infection to his left elbow.,143,"Bruises, contusions",422,Elbow(s),6329,"Struck against stationary object or equipment, n.e.c.",840,"Highway vehicle, motorized, unspecified",,,Electric Bulk Power Transmission and Control
31,-73.495872,40.680423,3789 Demott Avenue,WANTAGH,NEW YORK,11793,2016010438,2016-01-16,,221310,1,0,,An employee fell down a flight of stairs and broke an arm. The break required surgery and in patient hospitalization to repair.,111,Fractures,420,"Arm(s), unspecified",4330,"Other fall to lower level, unspecified",6610,"Stairs, steps, unspecified",,,Water Supply and Irrigation Systems
32,-73.509171,42.92053,31 Niagra Way,JOHNSONVILLE,NEW YORK,12094,2015010643,2015-01-21,,221111,1,0,1020012,"Employee was repairing an overhead door when a spring broke releasing the door and striking the employee injuring the shoulder, clavical,  and ribs.  Employee was hospitalized.",1972,"Soreness, pain, hurt-nonspecified injury",899,"Multiple body parts, n.e.c.",6239,"Struck by falling object or equipment, n.e.c.",6512,Garage doors,,,Hydroelectric Power Generation
33,-73.947913,42.796055,1125 Pleasant Street,SCHENECTADY,NEW YORK,12303,2015129644,2015-12-21,,221114,1,0,,"An employee was the last person on the roof after installing solar panels and wiring and had removed his fall protection equipment handing it to a coworker.  The coworker went down the ladder to the ground and held the ladder.  When the injured employee went to descend the ladder, he slid and a strap securing the ladder to the roof broke. He fell over 20 feet from the roof to a concrete surface below resulting in compound fractures to his left arm.",111,Fractures,420,"Arm(s), unspecified",4334,Other fall to lower level 16 to 20 feet,6540,"Roofs, unspecified",,,Solar Electric Power Generation
34,-76.1974,43.039628,Camden Road,SYRACUSE,NEW YORK,13219,2016054795,2016-05-31,,221210,1,0,,An employee was struck by the outriggers of a backhoe resulting in a severe leg laceration and a broken pelvis.,1839,"Fractures and other injuries, n.e.c.",899,"Multiple body parts, n.e.c.",2440,"Pedestrian struck by vehicle in nonroadway area, unspecified",3211,"Backhoes, trackhoes",,,Natural Gas Distribution
35,-75.51602,44.284631,County Route 9,GOUVERNEUR,NEW YORK,13642,2016054003,2016-05-10,CSX Railroad Tracks,221122,1,0,,"On 5/10/16, at approximately 0900 hours, an employee was climbing a ladder that was set up on a meter pole when the pole began to crack. The employee began descending the ladder and the pole broke. The employee fell approximately 15 feet from the ladder to a stone/grassy surface, shattering the L2 vertebra and requiring hospitalization.",111,Fractures,322,Lumbar region,4333,Other fall to lower level 11 to 15 feet ,7421,Extension ladders,6359,"Towers, poles, n.e.c.",Electric Power Distribution
36,-74.996041,44.66886,20 Pine Street,POTSDAM,NEW YORK,13676,2015030306,2015-03-09,,221122,1,0,,An employee was on a 12-foot step ladder changing a light bulb in the facility. Another employee drove his vehicle into the building and bumped the ladder; the injured employee fell off and broke both ankles.,111,Fractures,52,Ankle(s),2442,Pedestrian struck by forward-moving vehicle in nonroadway area,840,"Highway vehicle, motorized, unspecified",,,Electric Power Distribution
37,-80.042581,40.58788,9844 Old Perry Highway,WEXFORD,PENNSYLVANIA,15090,2016031870,2016-03-01,,221210,1,0,,"An employee stepped onto an approximately 18-inch-tall retaining wall. The top cap block of the wall slid, causing the employee to fall and fracture his hip. He required surgery.",111,Fractures,341,Hip(s),4331,Other fall to lower level less than 6 feet,6399,"Structures, n.e.c.",,,Natural Gas Distribution
38,-79.788439,40.538157,151 Porter Street,SPRINGDALE,PENNSYLVANIA,15144,2015052616,2015-05-05,,221112,1,0,1062114,An employee was hospitalized after a forklift ran over the employee's right foot.,1972,"Soreness, pain, hurt-nonspecified injury",530,"Foot (feet), unspecified",2440,"Pedestrian struck by vehicle in nonroadway area, unspecified",8621,"Forklift, order picker, platform truck-powered",,,Fossil Fuel Electric Power Generation
39,-80.138211,40.30289,168 Georgetown Road,CANONSBURG,PENNSYLVANIA,15317,2016065565,2016-06-22,,221121,0,1,1159012,"An employee was trying to clear a jam in a cutting machine. When the jam cleared, the machine automatically started back up, amputating the employee's right ring finger.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6411,"Caught in running equipment or machinery during maintenance, cleaning ",3590,"Other metal, woodworking, and special material machinery, unspecified",,,Electric Bulk Power Transmission and Control
40,-79.056647,40.388184,1442 Power Plant Road,NEW FLORENCE,PENNSYLVANIA,15944,2015096454,2015-09-04,,221112,1,0,,An employee sustained a broken ankle while stepping off of a four-rung ladder.,111,Fractures,52,Ankle(s),4331,Other fall to lower level less than 6 feet,740,"Ladders, unspecified",,,Fossil Fuel Electric Power Generation
41,-76.731601,40.193309,Three Mile Island,MIDDLETOWN,PENNSYLVANIA,17057,2015118394,2015-11-07,2625 River Road ,221113,1,0,,Employees were installing H beams when one employee felt a static shock through his leather gloves. He was hospitalized with atrial fibrillation.,193,"Electrocutions, electric shocks",6,BODY SYSTEMS,5120,"Indirect exposure to electricity, unspecified",9999,Nonclassifiable,,,Nuclear Electric Power Generation
42,-76.27538,39.76622,1848 Lay Road,DELTA,PENNSYLVANIA,17314,2015075219,2015-07-29,,221113,0,1,1089368,An employee working South of Delta cooling tower was removing a 380 lb. stuffing box from packaging using a grove crane. The crane was not involved. As the employee was moving the stuffing box on the skid he pinched his left pinky between the box and the shipping crate amputating his left pinky tip.,1311,Amputations,4422,Fingertip(s),642,Compressed or pinched by shifting objects or equipment,2114,"Boxes, crates, cartons",2114,"Boxes, crates, cartons",Nuclear Electric Power Generation
43,-76.690774,40.05366,1400 Wego Road,MOUNT WOLF,PENNSYLVANIA,17347,2015096394,2015-09-02,,221112,1,0,,An employee became ill while operating the treatment plant at the Susquehanna River intake and was hospitalized.,1960,"Poisoning, toxic, noxious, or allergenic effect, unspecified",6,BODY SYSTEMS,5520,"Inhalation of harmful substance, unspecified",531,Bacteria,,,Fossil Fuel Electric Power Generation
44,-75.014631,40.15447,40 S Westview Ave,FEASTERVILLE TREVOSE,PENNSYLVANIA,19053,2016054634,2016-05-25,,221122,1,0,,"An employee was working off a 24' ladder on a bundled secondary and fell approximately 9' off the ladder resulting in a broken shoulder, wrist and ribs.",111,Fractures,899,"Multiple body parts, n.e.c.",4332,Other fall to lower level 6 to 10 feet,7420,"Movable ladders, unspecified",,,Electric Power Distribution
45,-75.986681,40.34097,4 Wellington Blvd,WYOMISSING,PENNSYLVANIA,19610,2016065381,2016-06-16,,221310,1,0,,"An employee was walking down a flight of stairs and stepped wrong, resulting in a broken ankle.",111,Fractures,52,Ankle(s),419,"Slip or trip without fall, n.e.c.",562,"Bodily motion or position of injured, ill worker",6610,"Stairs, steps, unspecified",Water Supply and Irrigation Systems
46,-76.378466,37.091306,NASA Langley Research Center,HAMPTON,VIRGINIA,23681,2015020681,2015-02-22,,221118,1,0,,"Employee was injured in an 18-foot fall from an access platform between two boilers when the catwalk grating gave way. Employee suffered a broken pelvis, fractured ribs, and a dislocated shoulder.",1834,Fractures and dislocations,899,"Multiple body parts, n.e.c.",4314,Fall from collapsing structure or equipment 16 to 20 feet,6346,Catwalks,,,Other Electric Power Generation
47,-81.483133,37.695005,WPHC - 207 Compressor Station,RAVENCLIFF,WEST VIRGINIA,25913,2016032108,2016-03-09,,221210,1,0,,"While restarting a compressor, an employee noticed the alternator belt was loose. The employee was tightening a bolt when an arc occurred, igniting natural gas vapors in the area and burning the employee's hands and face.",1520,"Heat (thermal) burns, unspecified",899,"Multiple body parts, n.e.c.",317,"Ignition of vapors, gases, or liquids",162,Natural gas,3991,Air compressors,Natural Gas Distribution
48,-80.740041,39.919724,Mitchell Plant,MOUNDSVILLE,WEST VIRGINIA,26041,2015020498,2015-02-17,8999 Energy Drive,221112,1,0,1042508,"On February 17, 2015, at approximately 5:30pm, an arc flash occurred while an employee rolled in a 4kv breaker to the Coal Yard Area. The employee received small first and second degree burns to his right and left hands.",1532,Second degree electrical burns,449,"Hand(s), n.e.c.",5112,"Direct exposure to electricity, greater than 220 volts",4417,"Switchboards, switches, fuses",,,Fossil Fuel Electric Power Generation
49,-81.272809,39.375499,First Energy Pleasants Power Station,BELMONT,WEST VIRGINIA,26134,2016021216,2016-02-09,Route 2,221122,1,0,,"On February 9, 2016, at approximately 10:30 PM, an employee was pressure-washing the inside of a scrubber unit and felt a pain in his back. He was hospitalized overnight with a strained back.",1233,Strains,320,"Back, including spine, spinal cord, unspecified",719,"Overexertion involving outside sources, n.e.c.",7293,Power washers,,,Electric Power Distribution
50,-84.546416,33.953161,1000 EMC Parkway,MARIETTA,GEORGIA,30061,2016076980,2016-07-27,,221122,1,0,1169419,"On July 21, 2016, an employee was hospitalized for dehydration.",1729,"Effects of heat and light, n.e.c.",6,BODY SYSTEMS,531,Exposure to environmental heat,9262,Heat-environmental,,,Electric Power Distribution
51,-84.018818,33.648334,POLE # 201534,CONYERS,GEORGIA,30094,2016021630,2016-02-22,INTERSECTION OF HWY 138 AND HWY 212,221122,1,0,,"On February 22, 2016, at approximately 6:05 p.m., an employee was covering overhead lines with blankets and hoses to replace damaged lightning arrestors when an electrical arc occurred. The arc caused first degree burns to the employee's face and neck, requiring hospitalization.",1531,First degree electrical burns,81,Head and neck,5112,"Direct exposure to electricity, greater than 220 volts",4415,"Power lines, transformers, convertors",,,Electric Power Distribution
52,-85.351849,34.254078,5963 ALABAMA HWY SW,ROME,GEORGIA,30165,2016076577,2016-07-20,,221119,0,1,,An employee amputated his right index finger when he was fixing the polarizer machine.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6411,"Caught in running equipment or machinery during maintenance, cleaning ",3799,"Special process machinery, n.e.c.",,,Other Electric Power Generation
53,-84.381828,33.771326,241 Ralph McGill Road,ATLANTA,GEORGIA,30308,2016021758,2016-02-27,,221122,1,0,,"An employee was struck on the back by a large metal pole, cracking two ribs.",111,Fractures,310,"Chest, except internal location of diseases or disorders",620,"Struck by object or equipment, unspecified",4199,"Building materials-solid elements, n.e.c.",,,Electric Power Distribution
54,-82.105874,32.098137,342 East Brazell Street,REIDSVILLE,GEORGIA,30453,2016010030,2016-01-04,,221122,1,0,1116340,"An employee was repairing the hydraulic line on a bucket truck when the line ruptured. His face was splashed with hydraulic fluid, resulting in facial burns and hospitalization.",150,"Burns and corrosions, unspecified ",130,"Face, unspecified",50,"Exposure to harmful substances or environments, unspecified",1642,"Lubricating greases, cutting oils",,,Electric Power Distribution
55,-84.335981,34.88056,381 Davies Rd.,BLUE RIDGE,GEORGIA,30513,2015108000,2015-10-26,,221122,0,1,1103311,The winch rope on a brush chipper got caught on the employee's foot resulting in the amputation of the right foot.,1311,Amputations,530,"Foot (feet), unspecified",644,Entangled in other object or equipment,3234,Chippers,,,Electric Power Distribution
56,-84.445184,34.71257,Ray Mountain Rd.,ELLIJAY,GEORGIA,30536,2016010198,2016-01-09,,221122,1,0,,"An employee fractured his ribs, sternum, back, and shoulder when a tree fell on him while he was clearing it off a power line.",111,Fractures,899,"Multiple body parts, n.e.c.",6239,"Struck by falling object or equipment, n.e.c.",5870,"Trees, logs, limbs, unspecified",,,Electric Power Distribution
57,-83.709066,33.792716,3217 Jack Glass Road,MONROE,GEORGIA,30655,2016020991,2016-02-02,,221122,1,0,,"An employee was helping with ground work when a strap holding an auger to a truck broke and the auger swung free, hitting the employee in the head. He was knocked unconscious and was hospitalized with a head laceration. The employee was wearing a hardhat at the time of the incident.",160,"Intracranial injuries, unspecified",111,Brain,6213,Struck by swinging part of powered vehicle,8429,"Truck-motorized freight hauling and utility, n.e.c",,,Electric Power Distribution
58,-84.936262,34.719434,925 Loopers Bridge Road,DALTON,GEORGIA,30721,2015063656,2015-06-13,,221122,1,0,,"An employee was hospitalized following a workplace accident that involved contact with chemicals.  While opening a container of pressurized ammonia, the chemical released into the employee's face.  ",1969,"Other poisoning, toxic, noxious, or allergenic effects, n.e.c.",130,"Face, unspecified",5544,"Exposure through intact skin, eyes, or other exposed tissue",1710,"Ammonia and ammonium compounds, unspecified",,,Electric Power Distribution
59,-82.020764,33.093194,Plant Vogtle,WAYNESBORO,GEORGIA,30830,2016076774,2016-07-25,7821 River Rd.,221113,1,0,,"An employee was pushing a plate compactor into an excavator bucket when his left pinky finger entered the thumb of the excavator, fracturing it.",111,Fractures,4420,"Finger(s), fingernail(s), unspecified",642,Compressed or pinched by shifting objects or equipment,3210,"Excavating machinery, unspecified",,,Nuclear Electric Power Generation
60,-82.341923,30.019834,County Road 231 and 159 Loop,LAKE BUTLER,FLORIDA,32054,2016076386,2016-07-14,,221122,1,0,,An employee was coming down the truck's fixed ladder when his right foot slipped inside of the ladder resulting in a broken right tibia. The employee was admitted to the hospital.,111,Fractures,513,Lower leg(s),6329,"Struck against stationary object or equipment, n.e.c.",8420,"Truck-motorized freight hauling and utility, unspecified",8420,"Truck-motorized freight hauling and utility, unspecified",Electric Power Distribution
61,-81.803421,29.62778,107 Hoover Rd,HOLLISTER,FLORIDA,32147,2015063496,2015-06-08,,221122,1,0,,"An employee was positioning himself on the aerial bucket before tree trimming when the aerial lift lost hydraulic pressure and caused the upper boom to swing down. This caused the employee to be ejected from the bucket while still attached to the bucket with his harness and lanyard. He fell down 28 feet, landing on a nearby fence and hitting his head on the fence or ground. He was hospitalized, where doctors found bleeding in the brain.",161,Cerebral and other intracranial hemorrhages,111,Brain,4316,Fall from collapsing structure or equipment 26 to 30 feet,8422,"Boom truck, bucket or basket hoist truck",,,Electric Power Distribution
62,-81.642481,29.744603,890 North Highway 17,PALATKA,FLORIDA,32177,2015064088,2015-06-25,,221122,1,0,,"An employee was walking towards the copy machine when he fell down on the ceramic floor, causing pain to the back of the head and lower back, as well as a temporary loss of consciousness. He was hospitalized.",1972,"Soreness, pain, hurt-nonspecified injury",899,"Multiple body parts, n.e.c.",420,"Fall on same level, unspecified",6629,"Floor, n.e.c.",,,Electric Power Distribution
63,-86.20187,30.341957,Unknown,SANTA ROSA BEACH,FLORIDA,32459,2015052830,2015-05-13,,221320,1,0,,An employee was bitten by an insect and had a swollen leg. He was hospitalized to cut/drain the bite area.,133,"Puncture wounds, except gunshot wounds",510,"Leg(s), unspecified",1319,"Bites and stings, n.e.c.",5130,"Insects, arachnids, mites, unspecified",,,Sewage Treatment Facilities
64,-86.632654,30.464518,1504 E. Ponderosa,FORT WALTON BEACH,FLORIDA,32547,2015020263,2015-02-15,,221210,1,0,,"A technician was called out for a gas leak.  The Tech was ""smelling"" out the gas with a meter.  He had been around the residence and crawled under the porch.  He moved some pesticide bottles the owner had under the porch.  When he moved them they released a gas that struck him in the face.",1960,"Poisoning, toxic, noxious, or allergenic effect, unspecified",6,BODY SYSTEMS,550,"Exposure to other harmful substances, unspecified",150,"Pesticides and other agricultural chemicals, unspecified",,,Natural Gas Distribution
65,-80.592431,28.17362,191 Norwood Ave,SATELLITE BEACH,FLORIDA,32937,2015085574,2015-08-08,,221114,1,0,1084233,An employee fell off a ladder hitting his head on a concrete floor. The employee was hospitalized for a fractured skull and foot.,111,Fractures,899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",,,Solar Electric Power Generation
66,-80.117773,26.232534,Intersection NW 8th Street,POMPANO BEACH,FLORIDA,33060,2015075211,2015-07-29,Dixie Hwy,221122,1,0,1081542,An employee received flash burns as he worked near overhead powerlines.,1530,"Electrical burns, unspecified",9999,Nonclassifiable,5112,"Direct exposure to electricity, greater than 220 volts",4415,"Power lines, transformers, convertors",,,Electric Power Distribution
67,-80.243044,26.882524,13291 Rosewood lane,WEST PALM BEACH,FLORIDA,33418,2015085617,2015-08-10,,221122,1,0,,An employee suffered a broken arm while jumping a fence on a residential property.,111,Fractures,420,"Arm(s), unspecified",4330,"Other fall to lower level, unspecified",6523,"Wooden fences, panels",,,Electric Power Distribution
